twolev_1,twolev_2,twolev_3,twolev_4,twolev_5,twolev_6,twolev_7,twolev_8,twolev_9,twolev_10,twolev_11,twolev_12,twolev_13,twolev_14,twolev_15,twolev_16,twolev_17,twolev_18,twolev_19,twolev_20,threelev_1,threelev_2,threelev_3,threelev_4,threelev_5,threelev_6,threelev_7,threelev_8,threelev_9,threelev_10,threelev_11,threelev_12,threelev_13,threelev_14,threelev_15,threelev_16,threelev_17,threelev_18,threelev_19,threelev_20,fourlev_1,fourlev_2,fourlev_3,fourlev_4,fourlev_5,fourlev_6,fourlev_7,fourlev_8,fourlev_9,fourlev_10,fourlev_11,fourlev_12,fourlev_13,fourlev_14,fourlev_15,fourlev_16,fourlev_17,fourlev_18,fourlev_19,fourlev_20,fivelev_1,fivelev_2,fivelev_3,fivelev_4,fivelev_5,fivelev_6,fivelev_7,fivelev_8,fivelev_9,fivelev_10,fivelev_11,fivelev_12,fivelev_13,fivelev_14,fivelev_15,fivelev_16,fivelev_17,fivelev_18,fivelev_19,fivelev_20,sixlev_1,sixlev_2,sixlev_3,sixlev_4,sixlev_5,sixlev_6,sixlev_7,sixlev_8,sixlev_9,sixlev_10,sixlev_11,sixlev_12,sixlev_13,sixlev_14,sixlev_15,sixlev_16,sixlev_17,sixlev_18,sixlev_19,sixlev_20,sevenlev_1,sevenlev_2,sevenlev_3,sevenlev_4,sevenlev_5,sevenlev_6,sevenlev_7,sevenlev_8,sevenlev_9,sevenlev_10,sevenlev_11,sevenlev_12,sevenlev_13,sevenlev_14,sevenlev_15,sevenlev_16,sevenlev_17,sevenlev_18,sevenlev_19,sevenlev_20,eightlev_1,eightlev_2,eightlev_3,eightlev_4,eightlev_5,eightlev_6,eightlev_7,eightlev_8,eightlev_9,eightlev_10,eightlev_11,eightlev_12,eightlev_13,eightlev_14,eightlev_15,eightlev_16,eightlev_17,eightlev_18,eightlev_19,eightlev_20,ninelev_1,ninelev_2,ninelev_3,ninelev_4,ninelev_5,ninelev_6,ninelev_7,ninelev_8,ninelev_9,ninelev_10,ninelev_11,ninelev_12,ninelev_13,ninelev_14,ninelev_15,ninelev_16,ninelev_17,ninelev_18,ninelev_19,ninelev_20,tenlev_1,tenlev_2,tenlev_3,tenlev_4,tenlev_5,tenlev_6,tenlev_7,tenlev_8,tenlev_9,tenlev_10,tenlev_11,tenlev_12,tenlev_13,tenlev_14,tenlev_15,tenlev_16,tenlev_17,tenlev_18,tenlev_19,tenlev_20,elevenlev_1,elevenlev_2,elevenlev_3,elevenlev_4,elevenlev_5,elevenlev_6,elevenlev_7,elevenlev_8,elevenlev_9,elevenlev_10,elevenlev_11,elevenlev_12,elevenlev_13,elevenlev_14,elevenlev_15,elevenlev_16,elevenlev_17,elevenlev_18,elevenlev_19,elevenlev_20,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,cont20,cont21,cont22,cont23,cont24,cont25,cont26,cont27,cont28,cont29,cont30,cont31,cont32,cont33,cont34,cont35,cont36,cont37,cont38,cont39,cont40,cont41,cont42,cont43,cont44,cont45,cont46,cont47,cont48,cont49,cont50,cont51,cont52,cont53,cont54,cont55,cont56,cont57,cont58,cont59,cont60,cont61,cont62,cont63,cont64,cont65,cont66,cont67,cont68,cont69,cont70,cont71,cont72,cont73,cont74,cont75,cont76,cont77,cont78,cont79,cont80,cont81,cont82,cont83,cont84,cont85,cont86,cont87,cont88,cont89,cont90,cont91,cont92,cont93,cont94,cont95,cont96,cont97,cont98,cont99,cont100,totalTargets,numMines,numNonMines,numUndetected,numDetected,numClassified,numMILCOS,numNOMBOS,numNotClassified,numFalseNeg,numFalsePos,completionTime
2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,3,1,1,1,3,1,2,1,1,1,1,2,1,2,3,3,1,1,3,2,4,2,3,3,1,3,4,4,3,3,1,4,4,3,1,2,2,5,5,4,1,3,3,4,1,5,2,1,5,4,1,5,3,1,1,3,3,6,6,6,6,1,3,6,2,6,2,6,3,3,1,4,5,2,6,1,2,2,3,3,3,3,5,3,3,1,4,4,5,3,6,3,2,3,7,6,6,8,1,5,5,6,7,6,5,7,1,3,4,5,4,5,8,8,7,7,4,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,9,2,1,8,3,3,3,1,3,3,9,3,3,3,5,3,3,3,3,1,3,8,2,11,6,6,6,6,10,6,8,10,1,2,6,8,6,6,6,10,8,2,6,296,83,30,399,396,250,341,226,171,496,238,16,306,267,421,171,73,29,180,407,250,455,201,511,59,108,509,139,298,114,102,250,220,489,226,25,305,511,235,209,175,62,312,13,146,432,430,83,9,357,151,357,502,13,211,186,163,102,16,169,97,217,479,488,175,121,472,283,382,108,511,437,211,226,312,442,211,197,475,226,5,142,497,15,229,235,8,376,169,475,496,393,169,282,204,428,211,5,405,489,2413,1093.0,1320,0,2413.0,2413.0,1093.0,1320.0,0.0,0.0,0.0,326400.8403139621
2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,3,1,2,3,3,1,2,2,2,3,3,1,2,3,1,3,4,2,4,1,4,1,4,2,4,1,3,1,3,1,4,2,4,1,4,3,1,5,3,1,5,2,4,5,5,1,5,3,1,4,5,5,1,3,3,3,3,2,4,2,3,4,4,3,3,3,3,4,6,6,5,1,3,3,4,3,1,2,2,6,4,2,5,2,2,5,7,7,6,7,4,3,2,3,2,3,8,8,7,8,3,4,2,8,7,3,4,8,6,3,2,2,6,7,2,3,8,8,2,2,9,2,5,8,2,2,2,2,7,2,2,7,6,4,8,9,3,10,10,2,2,10,2,10,10,10,2,9,10,2,10,2,10,10,2,3,5,3,3,1,3,3,3,2,3,4,3,3,6,3,3,6,9,2,3,1,77,236,482,429,356,437,181,45,386,446,502,95,181,3,368,224,471,389,115,45,471,167,230,347,171,129,105,198,471,198,316,153,224,1,82,60,126,376,243,227,105,102,49,118,105,30,105,300,186,305,212,35,260,161,82,95,148,342,146,153,410,428,407,300,344,300,158,471,35,502,212,192,276,446,260,437,371,170,83,82,316,146,305,240,80,266,262,260,315,422,133,389,437,443,460,115,462,495,372,437,2183,1004.0,1179,0,2183.0,2183.0,1004.0,1179.0,0.0,0.0,0.0,204226.90815271114
2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,1,2,2,3,3,2,1,1,2,2,3,1,3,1,1,1,3,2,4,2,2,2,4,3,2,4,4,3,2,3,4,1,4,4,4,2,2,3,5,2,1,3,3,3,2,2,3,1,2,2,5,1,4,1,1,3,4,4,4,2,6,2,6,3,4,6,2,5,6,1,2,6,5,2,1,4,6,5,2,2,1,3,5,7,1,7,6,2,4,6,3,2,4,7,4,1,7,1,2,2,1,5,5,1,8,6,8,6,8,6,5,8,3,7,5,1,7,5,8,2,3,2,3,4,8,2,3,2,3,9,2,2,1,2,9,6,2,6,3,3,8,10,3,3,10,7,9,3,1,3,3,3,7,9,7,8,4,3,2,2,2,10,2,10,2,2,4,2,2,4,10,2,10,10,10,10,5,146,421,153,71,45,156,509,472,163,22,407,130,383,130,69,245,283,68,201,140,156,245,156,361,300,468,78,501,409,92,130,83,239,468,128,491,159,280,130,343,409,199,473,362,36,64,300,189,163,336,472,200,230,314,437,465,203,311,61,199,340,391,137,417,465,77,466,94,212,486,216,473,338,156,11,325,459,253,259,91,466,216,239,3,510,22,362,220,391,466,61,444,472,223,300,468,278,472,280,495,2092,756.0,1336,0,2092.0,2092.0,756.0,1336.0,0.0,0.0,0.0,840012.5309441342
2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,3,1,2,3,3,2,1,3,2,1,3,1,2,4,4,2,2,4,2,1,3,2,1,1,4,1,2,3,4,2,3,4,2,1,5,5,2,2,1,5,2,5,2,1,5,5,2,2,5,5,3,1,3,6,4,5,5,3,2,1,1,4,2,3,1,4,1,2,2,2,4,1,2,1,2,2,3,7,2,5,7,2,1,5,3,7,2,6,1,7,5,5,1,2,6,7,1,3,4,1,2,3,5,8,7,7,6,3,8,6,5,8,5,9,8,2,3,8,3,8,8,9,3,9,7,3,9,2,3,9,8,3,9,10,3,7,7,7,3,3,8,7,3,7,1,3,3,7,3,7,3,2,1,8,3,3,11,3,3,3,8,3,9,10,3,3,10,10,9,11,8,3,10,15,52,389,298,305,328,4,407,121,203,16,160,97,109,455,406,328,138,322,302,109,406,264,146,419,118,97,328,367,73,367,73,411,455,252,141,184,305,30,386,341,220,65,322,301,367,188,382,262,139,154,185,288,254,19,387,354,160,7,93,154,401,67,382,97,188,189,455,261,16,388,232,344,160,279,388,220,456,84,499,298,234,264,317,307,29,364,387,62,170,447,139,367,130,90,469,170,434,33,387,1133,89.0,1044,0,1133.0,1133.0,89.0,1044.0,0.0,0.0,0.0,50235.36619127737
2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,1,3,3,3,2,2,3,3,2,3,1,1,3,2,1,3,4,2,3,1,3,2,4,1,4,3,4,3,3,1,3,2,4,2,2,1,3,3,2,2,5,2,4,2,4,3,3,2,2,5,5,1,2,1,1,3,2,6,1,6,5,1,2,2,1,2,2,4,3,6,3,1,2,2,2,5,2,2,2,1,2,2,4,2,1,2,6,1,7,2,1,3,1,3,5,5,5,3,4,4,7,3,7,2,1,1,1,4,6,4,4,4,5,1,3,8,8,8,1,3,7,3,2,4,2,9,8,2,3,2,9,8,5,6,4,3,7,3,3,3,9,3,3,5,10,6,3,6,3,10,3,3,3,10,8,3,1,3,3,3,6,10,3,10,3,11,10,3,3,3,7,3,2,2,3,5,391,282,20,440,116,321,55,300,120,183,440,346,33,293,256,327,240,440,252,504,466,205,432,149,321,293,327,105,375,100,277,355,383,466,440,389,293,273,361,358,300,149,129,64,179,65,321,162,266,169,84,310,390,387,293,414,417,50,293,149,206,293,314,321,149,383,440,169,321,240,97,414,470,137,190,8,218,275,471,120,33,414,372,482,100,269,452,414,422,448,266,414,300,113,346,432,57,346,19,266,769,51.0,718,1,768.0,768.0,51.0,717.0,0.0,0.0,0.0,61274.4428581129
1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,1,2,1,1,1,1,1,1,3,2,1,3,1,1,4,3,4,3,3,1,1,4,1,4,4,2,2,4,2,2,2,2,3,3,4,5,1,1,1,4,5,2,2,1,2,2,4,3,4,4,3,4,2,4,3,3,3,4,6,6,3,3,3,3,2,1,1,1,1,6,6,1,1,3,3,3,7,4,7,3,3,3,4,3,1,3,5,1,4,6,5,7,6,4,7,4,8,7,8,1,1,1,8,3,5,2,4,2,3,7,1,1,7,1,5,8,2,3,3,3,5,8,2,3,2,2,8,9,2,3,9,3,7,8,2,3,7,3,7,7,7,1,3,9,7,4,7,3,7,3,3,3,8,2,11,3,3,7,3,3,3,6,3,3,3,3,7,3,2,3,4,1,3,4,486,358,375,94,495,221,131,171,379,334,385,430,343,279,187,366,402,274,488,508,447,164,315,255,315,314,282,290,257,10,256,418,272,257,314,442,277,241,343,419,379,385,387,465,44,320,343,315,334,476,95,379,272,415,334,272,302,501,282,282,303,47,301,355,502,379,53,314,307,340,1,384,166,340,221,402,208,258,265,334,385,433,257,387,187,193,472,272,159,470,263,385,291,92,315,41,3,334,401,267,1802,1082.0,720,0,1802.0,1802.0,1082.0,720.0,0.0,0.0,0.0,1297535.0808354325
1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,1,3,3,1,3,1,3,3,1,3,1,2,3,2,1,1,2,2,3,1,1,2,2,1,2,1,2,3,2,4,2,2,2,2,1,4,4,2,4,5,1,5,4,3,3,5,2,1,3,4,1,4,4,3,3,1,3,2,6,2,5,1,3,4,2,5,5,2,1,4,6,1,1,5,2,2,5,6,6,3,7,7,4,7,3,1,3,3,2,1,1,2,3,4,3,5,6,5,4,5,1,6,8,6,5,8,1,1,4,3,1,3,6,2,7,8,7,1,4,2,2,2,3,2,7,8,8,7,8,7,2,8,8,2,8,3,7,2,6,2,2,2,10,2,2,3,7,2,10,2,10,2,4,10,10,2,8,2,3,3,4,3,11,4,3,11,11,9,4,4,3,4,11,3,1,3,11,4,436,443,70,221,96,470,96,79,147,506,370,131,90,496,272,62,22,233,390,90,47,131,330,208,188,90,47,380,150,165,21,1,419,233,64,313,496,79,183,431,104,196,251,415,173,173,224,150,104,178,89,483,316,64,104,107,406,400,114,398,453,233,491,188,73,453,496,270,506,178,21,395,15,90,439,314,249,40,303,62,468,483,483,245,472,4,448,47,91,419,79,42,438,432,499,496,305,305,313,496,2184,845.0,1339,0,2184.0,2184.0,845.0,1339.0,0.0,0.0,0.0,584160.0398946062
1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,3,1,1,3,2,3,1,3,2,3,3,2,2,3,2,1,2,2,4,3,2,2,4,1,4,3,1,1,3,2,1,1,1,3,1,4,2,3,4,1,4,4,2,2,3,1,2,5,1,4,4,3,4,1,1,4,2,2,2,4,1,2,6,6,1,2,4,2,6,1,3,2,1,6,3,5,4,3,3,3,3,5,2,3,7,2,6,1,3,7,6,7,5,7,3,7,2,7,8,5,6,8,8,2,1,3,4,8,1,1,5,6,1,6,7,8,1,4,5,8,2,7,3,3,4,4,8,3,2,9,3,8,8,5,9,3,9,9,2,3,10,3,3,3,10,6,2,3,3,10,3,10,9,10,3,10,2,8,1,10,5,11,7,7,2,6,10,10,6,2,3,2,2,10,2,6,10,2,363,362,272,56,408,161,238,362,412,38,490,111,64,158,447,367,57,277,312,161,436,341,213,426,467,490,245,436,64,488,57,211,458,57,182,97,426,259,172,155,377,185,397,83,286,48,377,399,341,193,341,151,133,113,78,296,4,470,111,193,161,384,370,408,259,64,473,132,40,323,296,211,251,18,15,118,150,227,129,111,213,117,467,220,85,119,500,95,457,277,40,69,139,350,182,436,208,499,329,213,1463,888.0,575,0,1463.0,1463.0,888.0,575.0,0.0,0.0,0.0,335031.63499187364
2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,3,1,2,3,3,3,2,3,1,3,2,1,2,3,3,1,3,1,1,1,2,2,3,1,4,3,1,3,2,3,1,2,3,4,3,1,5,4,4,2,3,4,4,1,2,3,4,1,2,5,2,5,5,5,4,2,5,6,2,5,6,5,2,2,2,2,5,2,2,2,2,2,6,4,2,2,6,2,2,3,7,7,6,7,6,5,5,2,1,3,4,6,4,1,7,3,4,3,2,1,4,3,3,1,7,3,1,5,6,2,1,3,1,7,7,1,2,7,6,4,3,7,2,2,6,2,8,6,2,2,6,6,3,6,4,6,10,3,3,8,10,3,5,8,3,3,7,3,8,8,10,6,3,6,7,3,3,3,2,11,8,3,8,8,11,1,3,8,3,3,3,7,2,3,4,92,274,304,506,81,289,78,276,83,367,457,255,489,129,416,39,157,206,286,463,385,157,281,215,72,289,255,178,55,191,157,31,482,174,416,170,260,62,144,59,31,248,257,283,187,266,416,149,483,206,140,55,336,102,206,362,431,502,232,501,307,427,55,473,248,24,278,7,191,385,232,43,97,413,228,94,487,366,375,157,344,63,215,351,257,300,485,259,416,248,303,218,218,172,483,303,336,85,15,206,596,40.0,556,0,596.0,596.0,40.0,556.0,0.0,0.0,0.0,26070.14233592674
1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,1,1,1,1,3,3,2,1,3,1,3,1,3,2,2,2,1,2,4,2,2,2,4,3,1,2,2,4,3,3,1,2,4,3,3,1,4,5,1,2,4,3,5,2,2,5,5,2,1,3,3,5,3,3,4,6,6,1,5,6,6,2,6,3,4,4,6,2,5,1,3,6,3,3,3,2,6,6,6,6,2,6,4,6,5,7,7,3,3,6,6,2,6,1,3,1,2,3,2,4,6,5,4,4,5,5,8,3,6,1,3,3,1,4,6,9,2,3,7,3,3,2,2,2,8,4,3,8,8,3,1,3,8,4,2,8,2,2,9,8,8,1,8,8,2,2,2,8,2,8,8,2,2,9,4,11,11,3,5,3,6,2,11,5,4,11,8,3,3,3,9,2,3,7,216,256,128,470,397,223,442,333,100,142,483,503,198,48,448,316,120,72,262,377,244,286,442,321,340,43,510,486,437,85,270,37,503,120,295,275,172,252,154,93,402,58,5,434,323,337,270,309,15,431,431,480,355,417,286,444,147,172,321,198,263,87,499,2,295,372,321,120,483,444,372,85,210,321,3,104,171,73,470,333,486,48,306,154,136,24,169,361,161,333,252,466,81,493,207,223,395,466,392,286,1830,1058.0,772,0,1830.0,1830.0,1058.0,772.0,0.0,0.0,0.0,894963.5740261505
1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,3,1,3,2,1,2,1,3,2,1,2,2,3,3,1,3,1,1,4,4,3,4,1,2,3,4,1,1,4,1,4,3,3,4,4,4,4,1,5,4,1,2,3,4,5,5,3,3,3,5,1,1,5,3,2,3,5,3,6,5,2,4,2,5,6,1,1,6,2,5,6,5,4,1,2,2,2,2,1,2,5,1,2,5,7,5,5,6,6,1,6,1,6,2,4,5,1,6,1,7,6,7,7,3,7,6,1,6,1,7,6,4,4,6,1,6,3,2,2,6,6,3,6,3,2,9,6,3,6,1,3,2,6,9,6,1,3,3,2,6,6,6,6,6,6,5,2,6,6,1,6,6,6,6,2,6,5,9,3,9,9,1,6,4,1,8,8,9,9,1,11,9,1,8,10,8,1,11,283,458,136,93,168,14,414,35,117,258,286,507,402,231,147,505,131,238,303,6,496,209,17,159,236,69,392,375,17,8,421,139,117,8,14,510,507,336,481,135,209,139,390,196,107,375,58,147,91,14,477,323,69,166,209,341,366,106,242,286,277,90,183,97,261,481,505,240,147,193,238,95,346,183,390,238,215,181,113,336,123,209,481,59,7,166,499,477,243,131,81,209,69,237,205,14,421,247,308,407,1929,831.0,1098,1,1928.0,1928.0,831.0,1097.0,0.0,0.0,0.0,859896.0866653181
1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,3,3,1,3,1,1,3,3,1,2,2,2,1,2,4,2,2,3,2,4,4,4,2,2,5,2,5,2,5,5,2,5,1,5,1,2,4,5,1,5,3,1,3,5,6,3,4,6,4,3,2,6,4,4,1,2,2,3,4,4,6,6,1,7,7,3,3,1,7,1,2,4,2,7,3,4,7,1,2,6,7,3,5,7,7,5,7,2,7,4,6,8,4,2,7,7,1,1,4,2,7,7,2,2,3,5,5,9,2,9,7,2,4,7,2,2,7,6,4,7,5,4,5,5,9,5,3,5,9,3,5,5,4,1,7,5,5,6,5,3,6,3,7,2,7,7,7,2,8,7,8,7,2,3,10,2,7,10,8,2,1,376,360,74,251,483,226,134,62,90,196,184,348,196,348,208,76,303,303,346,449,458,226,66,503,166,53,76,343,323,432,500,450,219,303,284,169,410,303,52,446,436,33,145,235,500,360,141,474,302,157,176,90,391,483,118,174,482,208,76,174,472,98,229,125,394,4,241,26,51,408,204,174,417,458,489,474,71,156,140,436,106,343,336,223,79,507,10,247,141,303,509,343,247,505,251,472,95,166,470,124,1603,1269.0,334,0,1603.0,1603.0,1269.0,334.0,0.0,0.0,0.0,717585.7383660863
1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,3,2,1,1,3,2,1,3,1,2,1,3,2,2,2,3,2,4,4,2,3,3,4,1,4,2,2,2,2,1,2,3,1,4,4,1,4,4,1,5,3,4,3,5,2,1,3,3,1,2,2,4,5,1,3,4,2,5,1,2,3,4,3,5,3,6,1,6,1,4,4,1,2,5,6,3,4,4,1,1,6,2,3,7,1,7,1,1,1,6,5,1,6,1,2,7,4,4,7,3,4,6,7,7,7,3,8,8,3,2,7,1,7,4,6,8,5,5,9,9,8,1,3,9,7,8,3,8,2,3,8,3,3,4,1,3,4,2,10,7,7,7,7,7,2,7,7,7,5,7,7,2,4,7,2,7,10,6,3,4,11,11,11,11,8,4,1,1,1,7,11,1,1,11,8,11,6,455,372,165,374,468,33,110,430,145,241,123,258,274,430,430,457,476,167,446,27,274,175,499,58,313,415,68,242,227,331,183,385,149,145,155,348,149,504,430,387,194,415,131,80,476,96,334,38,208,138,219,309,139,326,194,271,253,335,430,167,33,477,488,17,96,2,286,474,403,82,487,358,437,241,477,194,441,148,229,171,288,304,86,4,201,288,291,60,81,175,47,17,68,360,154,68,385,232,68,222,782,183.0,599,1,781.0,781.0,183.0,598.0,0.0,0.0,0.0,156340.3118723335
1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,2,1,2,1,3,3,2,2,2,3,1,2,1,1,3,2,3,3,4,3,4,2,3,3,3,4,2,3,2,1,4,2,2,4,1,4,2,2,3,1,5,1,3,2,4,4,5,2,5,3,3,3,1,1,3,1,4,6,6,5,5,2,4,3,3,1,4,5,3,1,1,1,1,4,2,2,4,2,7,5,4,2,7,7,7,3,4,7,5,5,4,4,4,7,6,4,3,5,3,2,2,8,6,6,4,4,6,2,4,5,4,6,7,7,6,6,5,8,1,9,1,9,7,8,8,7,7,3,5,7,1,7,1,1,9,1,3,1,8,4,4,8,8,8,5,8,9,9,6,9,4,8,9,8,8,8,8,10,2,7,7,2,9,2,8,9,9,2,7,3,2,7,7,2,7,2,1,487,174,368,70,294,330,379,460,439,43,480,496,104,260,235,21,365,473,330,277,157,56,489,110,214,30,169,255,246,508,188,159,201,278,105,387,188,388,290,274,441,129,318,116,447,416,330,214,512,43,209,388,174,379,5,496,238,207,21,478,123,135,130,135,452,233,174,45,188,321,246,485,254,478,486,330,321,425,1,310,104,116,353,58,358,90,127,154,302,223,243,416,388,10,276,209,7,330,232,137,995,626.0,369,0,995.0,995.0,626.0,369.0,0.0,0.0,0.0,551041.0365833179
1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,3,2,3,1,2,3,2,3,3,3,1,1,1,3,2,1,1,2,4,4,3,4,2,1,4,3,4,4,4,4,2,1,5,5,5,3,2,1,3,1,5,2,3,2,4,2,5,5,4,1,2,3,5,1,2,1,6,6,2,5,1,5,1,3,5,2,1,6,3,2,4,3,5,3,3,5,5,5,6,2,6,5,4,4,1,6,1,4,5,7,7,7,5,2,1,7,1,2,1,5,3,1,1,5,7,1,7,2,8,4,7,7,5,4,6,9,8,2,4,2,4,4,2,8,4,4,4,2,7,7,4,9,8,1,7,7,7,7,7,2,7,7,1,9,7,7,3,7,7,1,1,9,6,2,2,11,11,9,2,8,2,2,11,2,2,2,2,11,11,9,2,2,234,283,142,235,235,496,225,310,181,77,108,484,349,275,175,25,105,305,370,269,80,421,214,491,247,25,181,77,435,386,491,368,453,195,112,363,76,227,450,295,124,407,210,66,450,349,232,146,416,167,496,160,105,277,97,512,216,205,461,431,42,32,135,452,26,178,453,146,205,50,134,212,201,105,218,453,38,136,488,416,265,88,186,288,304,261,184,224,80,484,435,134,157,224,275,499,275,376,476,249,1957,1285.0,672,1,1956.0,1956.0,1285.0,671.0,0.0,0.0,0.0,1077498.3701444122
2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,3,2,2,2,3,2,3,3,2,2,2,2,3,1,2,3,1,3,1,3,4,4,4,2,3,3,2,2,1,4,2,1,4,2,2,2,3,1,2,4,3,4,1,3,1,5,4,1,5,1,2,3,5,5,1,4,1,4,1,2,1,5,1,5,5,1,5,6,2,1,1,2,4,2,6,6,6,6,2,6,6,3,6,1,7,1,4,3,6,2,2,3,6,2,6,4,3,6,6,5,1,3,1,5,3,6,3,3,5,6,2,5,6,5,4,5,1,5,7,9,3,3,1,3,5,6,3,8,3,3,3,8,3,3,8,5,3,6,2,10,1,2,10,1,9,3,10,1,10,6,10,10,1,1,1,10,1,1,9,4,4,4,5,1,4,8,4,1,9,9,3,4,6,4,1,4,4,5,98,391,135,245,242,429,362,313,331,31,313,116,461,40,366,259,485,10,473,128,160,223,92,204,332,455,334,194,237,105,24,237,278,261,473,55,44,6,346,291,218,204,391,90,370,229,402,455,252,133,512,187,218,337,482,252,188,128,237,463,313,48,429,6,204,473,511,71,209,463,237,313,340,24,70,271,153,360,307,485,313,229,198,39,345,338,115,27,402,482,299,442,223,457,402,366,165,271,455,10,1255,1228.0,27,0,1255.0,1255.0,1228.0,27.0,0.0,0.0,0.0,387194.70837728627
1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,3,2,3,3,1,2,3,2,2,1,1,1,2,3,1,1,4,3,2,4,4,4,4,4,1,4,3,2,2,1,1,4,2,3,4,2,4,2,2,5,4,1,1,5,5,3,2,1,5,3,2,1,3,4,3,1,3,1,5,1,2,6,2,4,5,3,4,3,2,5,2,2,2,1,4,3,6,1,1,4,2,5,2,5,1,7,6,7,6,7,7,3,5,4,1,4,2,4,5,6,2,3,3,2,8,1,3,8,8,3,6,5,3,3,3,3,2,7,2,7,1,2,7,2,7,8,2,3,2,7,7,4,3,4,2,8,5,6,6,6,6,6,6,6,6,6,6,8,6,6,3,6,10,6,6,2,2,5,5,6,9,6,3,8,9,2,5,5,7,10,9,9,6,7,7,10,456,106,224,45,61,11,250,88,216,457,406,381,127,100,148,275,381,170,211,433,351,98,449,394,346,201,507,359,125,503,359,158,451,289,339,281,332,479,12,200,406,263,456,473,125,8,149,451,460,278,424,61,470,492,456,285,440,212,187,216,20,410,336,98,501,6,479,235,394,31,460,400,73,12,275,381,87,131,423,1,63,127,216,328,209,177,203,6,30,479,406,501,501,31,158,346,258,332,74,173,666,199.0,467,0,666.0,666.0,199.0,467.0,0.0,0.0,0.0,180001.9125596526
2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,3,2,1,3,2,2,3,2,2,2,3,2,3,1,1,2,1,4,4,2,4,4,4,2,2,4,4,4,3,4,4,2,2,3,2,5,2,4,3,3,2,1,5,4,5,1,2,1,3,4,1,4,3,1,2,4,6,4,6,5,3,3,4,1,5,4,2,1,4,5,4,2,4,7,5,3,1,7,3,3,5,7,3,2,3,3,3,1,5,2,5,1,2,3,7,8,5,3,5,3,3,1,8,7,1,1,6,6,5,5,7,4,1,4,7,2,2,1,2,3,7,2,7,2,8,8,3,2,2,6,4,2,5,10,1,9,10,1,1,9,4,4,9,10,2,9,1,1,1,4,10,1,8,9,3,10,9,1,6,9,8,7,9,3,10,5,10,9,10,1,1,3,1,23,43,299,249,493,336,283,89,287,190,460,70,30,30,129,441,70,270,334,308,270,255,89,69,367,416,319,16,49,231,414,166,231,231,474,223,180,270,222,360,37,425,484,247,467,194,70,134,367,16,210,467,460,190,210,284,181,494,180,16,319,417,423,20,504,250,379,187,231,250,209,474,62,37,367,491,25,208,420,460,231,215,449,405,70,71,326,190,336,156,191,60,231,495,263,37,157,80,185,417,1624,499.0,1125,0,1624.0,1624.0,499.0,1125.0,0.0,0.0,0.0,397401.06634151936
